device: cuda
config: {'variant': 'image_only', 'quality_aware': False, 'n_folds': 5, 'seed': 42, 'image_size': 224, 'batch_size': 16, 'epochs': 30, 'lr': 0.0001, 'weight_decay': 0.0001, 'aux_loss_weight': 0.4, 'quality_loss_weight': 0.15, 'focal_gamma': 0.0, 'train_on_all_dermoscopic_images': True, 'fusion_hidden_dim': 256, 'fusion_dropout': 0.3, 'metadata_hidden_dim': 128, 'metadata_out_dim': 128, 'num_aux_classes': 9, 'results_ledger_path': 'results/results_ledger.csv', 'checkpoint_dir': 'checkpoints', 'log_dir': 'logs', 'notes': ''}
[build_lesion_table] 240 lesions total
  binary task: 6 excluded (malignancy=='unknown')
  aux 9-class task: 6 excluded (unified_diagnosis=='UNK' or missing)
  histopath-confirmed: 28
  lesions missing a quality rating: 2
[build_image_index] 2394 raw image rows -> 2131 after lesion_id join -> 2131 after file-existence check (0 missing files dropped)
fold 0: 5 subjects, 9.0 malignant lesions
fold 1: 6 subjects, 9.0 malignant lesions
fold 2: 16 subjects, 8.0 malignant lesions
fold 3: 16 subjects, 8.0 malignant lesions
fold 4: 16 subjects, 8.0 malignant lesions
[fold 4] epoch 15/30 train_loss=0.0374 val_bacc=0.7778 val_auroc=0.9236
[fold 4] epoch 16/30 train_loss=0.0240 val_bacc=0.7778 val_auroc=0.9097
[fold 4] epoch 17/30 train_loss=0.0330 val_bacc=0.7778 val_auroc=0.9722
[fold 4] epoch 18/30 train_loss=0.0507 val_bacc=0.7778 val_auroc=0.8542
[fold 4] epoch 19/30 train_loss=0.0327 val_bacc=0.7222 val_auroc=0.8333
[fold 4] epoch 20/30 train_loss=0.0203 val_bacc=0.7222 val_auroc=0.8819
[fold 4] epoch 21/30 train_loss=0.0186 val_bacc=0.7778 val_auroc=0.8889
[fold 4] epoch 22/30 train_loss=0.0118 val_bacc=0.7222 val_auroc=0.8750
[fold 4] epoch 23/30 train_loss=0.0118 val_bacc=0.7778 val_auroc=0.9097
[fold 4] epoch 24/30 train_loss=0.0113 val_bacc=0.7778 val_auroc=0.9028
[fold 4] epoch 25/30 train_loss=0.0118 val_bacc=0.7778 val_auroc=0.9306
[fold 4] epoch 26/30 train_loss=0.0081 val_bacc=0.7222 val_auroc=0.8958
[fold 4] epoch 27/30 train_loss=0.0069 val_bacc=0.7778 val_auroc=0.9167
[fold 4] epoch 28/30 train_loss=0.0070 val_bacc=0.7778 val_auroc=0.9097
[fold 4] epoch 29/30 train_loss=0.0159 val_bacc=0.6667 val_auroc=0.8333
[fold 4] epoch 30/30 train_loss=0.0096 val_bacc=0.7222 val_auroc=0.8542
[fold 4] TEST accuracy=0.8286 balanced_accuracy=0.7944 auroc=0.8206

=== Aggregated (mean +/- std across folds) ===
accuracy_mean: 0.8126
accuracy_std: 0.0175
balanced_accuracy_mean: 0.7844
balanced_accuracy_std: 0.0654
macro_f1_mean: 0.7329
macro_f1_std: 0.0336
sensitivity_malignant_mean: 0.6972
sensitivity_malignant_std: 0.1672
specificity_mean: 0.8716
specificity_std: 0.0544
auroc_mean: 0.8953
auroc_std: 0.0472
confusion_matrix_sum:
[[160  29]
 [ 13  29]]
total time: 4029.0s
