device: cuda
config: {'variant': 'channel_gated', 'quality_aware': False, 'n_folds': 5, 'seed': 42, 'image_size': 224, 'batch_size': 16, 'epochs': 30, 'lr': 0.0001, 'weight_decay': 0.0001, 'aux_loss_weight': 0.4, 'quality_loss_weight': 0.15, 'focal_gamma': 0.0, 'train_on_all_dermoscopic_images': True, 'fusion_hidden_dim': 256, 'fusion_dropout': 0.3, 'metadata_hidden_dim': 128, 'metadata_out_dim': 128, 'num_aux_classes': 9, 'results_ledger_path': 'results/results_ledger.csv', 'checkpoint_dir': 'checkpoints', 'log_dir': 'logs', 'notes': ''}
[build_lesion_table] 240 lesions total
  binary task: 6 excluded (malignancy=='unknown')
  aux 9-class task: 6 excluded (unified_diagnosis=='UNK' or missing)
  histopath-confirmed: 28
  lesions missing a quality rating: 2
[build_image_index] 2394 raw image rows -> 2131 after lesion_id join -> 2131 after file-existence check (0 missing files dropped)
fold 0: 5 subjects, 9.0 malignant lesions
fold 1: 6 subjects, 9.0 malignant lesions
fold 2: 16 subjects, 8.0 malignant lesions
fold 3: 16 subjects, 8.0 malignant lesions
fold 4: 16 subjects, 8.0 malignant lesions
[fold 3] epoch 7/30 train_loss=0.1520 val_bacc=0.7399 val_auroc=0.7601
[fold 3] epoch 8/30 train_loss=0.2754 val_bacc=0.8185 val_auroc=0.7863
[fold 3] epoch 9/30 train_loss=0.0840 val_bacc=0.7722 val_auroc=0.7903
[fold 3] epoch 10/30 train_loss=0.0651 val_bacc=0.7722 val_auroc=0.8125
[fold 3] epoch 11/30 train_loss=0.0455 val_bacc=0.8347 val_auroc=0.8024
[fold 3] epoch 12/30 train_loss=0.0325 val_bacc=0.8427 val_auroc=0.8004
[fold 3] epoch 13/30 train_loss=0.0352 val_bacc=0.8347 val_auroc=0.8387
[fold 3] epoch 14/30 train_loss=0.0430 val_bacc=0.8427 val_auroc=0.8286
[fold 3] epoch 15/30 train_loss=0.0708 val_bacc=0.8508 val_auroc=0.8206
[fold 3] epoch 16/30 train_loss=0.0654 val_bacc=0.8266 val_auroc=0.8286
[fold 3] epoch 17/30 train_loss=0.0351 val_bacc=0.8427 val_auroc=0.8266
[fold 3] epoch 18/30 train_loss=0.0382 val_bacc=0.7883 val_auroc=0.7944
[fold 3] epoch 19/30 train_loss=0.0335 val_bacc=0.7722 val_auroc=0.8246
[fold 3] epoch 20/30 train_loss=0.0342 val_bacc=0.7621 val_auroc=0.8367
[fold 3] epoch 21/30 train_loss=0.0422 val_bacc=0.8185 val_auroc=0.8226
[fold 3] epoch 22/30 train_loss=0.0111 val_bacc=0.7560 val_auroc=0.8145
[fold 3] epoch 23/30 train_loss=0.0226 val_bacc=0.7641 val_auroc=0.8044
[fold 3] epoch 24/30 train_loss=0.0367 val_bacc=0.8266 val_auroc=0.7823
[fold 3] epoch 25/30 train_loss=0.0540 val_bacc=0.8185 val_auroc=0.7923
[fold 3] epoch 26/30 train_loss=0.0789 val_bacc=0.8347 val_auroc=0.7903
[fold 3] epoch 27/30 train_loss=0.0266 val_bacc=0.8024 val_auroc=0.8165
[fold 3] epoch 28/30 train_loss=0.0159 val_bacc=0.8266 val_auroc=0.7984
[fold 3] epoch 29/30 train_loss=0.0203 val_bacc=0.8427 val_auroc=0.7782
[fold 3] epoch 30/30 train_loss=0.0110 val_bacc=0.8427 val_auroc=0.8024
[fold 3] TEST accuracy=0.9355 balanced_accuracy=0.9097 auroc=0.9560
[_build_samples] 2/72 lesions had no usable image on disk for this split — dropped
[fold 4] epoch 1/30 train_loss=1.8218 val_bacc=0.9062 val_auroc=0.9792
[fold 4] epoch 2/30 train_loss=1.1107 val_bacc=0.8333 val_auroc=0.8958
[fold 4] epoch 3/30 train_loss=0.7437 val_bacc=0.8333 val_auroc=0.9861
[fold 4] epoch 4/30 train_loss=0.3912 val_bacc=0.7778 val_auroc=0.9861
[fold 4] epoch 5/30 train_loss=0.2085 val_bacc=0.7778 val_auroc=1.0000
[fold 4] epoch 6/30 train_loss=0.1928 val_bacc=1.0000 val_auroc=1.0000
[fold 4] epoch 7/30 train_loss=0.1343 val_bacc=0.7778 val_auroc=0.9792
[fold 4] epoch 8/30 train_loss=0.0941 val_bacc=0.8889 val_auroc=0.9653
[fold 4] epoch 9/30 train_loss=0.0793 val_bacc=0.8333 val_auroc=0.9861
[fold 4] epoch 10/30 train_loss=0.0624 val_bacc=0.8333 val_auroc=0.9931
[fold 4] epoch 11/30 train_loss=0.0599 val_bacc=0.7778 val_auroc=0.9861
[fold 4] epoch 12/30 train_loss=0.0326 val_bacc=0.7778 val_auroc=0.9722
[fold 4] epoch 13/30 train_loss=0.0408 val_bacc=0.7778 val_auroc=0.9792
[fold 4] epoch 14/30 train_loss=0.1389 val_bacc=0.6111 val_auroc=0.9792
[fold 4] epoch 15/30 train_loss=0.1161 val_bacc=0.8333 val_auroc=0.9028
[fold 4] epoch 16/30 train_loss=0.0385 val_bacc=0.8333 val_auroc=0.9028
[fold 4] epoch 17/30 train_loss=0.0288 val_bacc=0.8333 val_auroc=0.9375
[fold 4] epoch 18/30 train_loss=0.0268 val_bacc=0.8333 val_auroc=0.9306
[fold 4] epoch 19/30 train_loss=0.0302 val_bacc=0.7778 val_auroc=0.8889
[fold 4] epoch 20/30 train_loss=0.0166 val_bacc=0.8333 val_auroc=0.9167
[fold 4] epoch 21/30 train_loss=0.0137 val_bacc=0.8333 val_auroc=0.9167
[fold 4] epoch 22/30 train_loss=0.0113 val_bacc=0.8333 val_auroc=0.9097
[fold 4] epoch 23/30 train_loss=0.0178 val_bacc=0.8333 val_auroc=0.9167
